timestamp, index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/06/23 22:21:08.129, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 0 %, 95.37 W, 38
2026/06/23 22:21:08.132, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 14 %, 92.63 W, 32
2026/06/23 22:21:08.134, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 46630 MiB, 97887 MiB, 92 %, 151.35 W, 36
2026/06/23 22:21:08.137, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 27866 MiB, 97887 MiB, 21 %, 101.95 W, 32
2026/06/23 22:21:09.139, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 230.65 W, 44
2026/06/23 22:21:09.141, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 4 %, 95.25 W, 32
2026/06/23 22:21:09.143, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 46630 MiB, 97887 MiB, 59 %, 145.35 W, 35
2026/06/23 22:21:09.146, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 27885 MiB, 97887 MiB, 30 %, 106.91 W, 32
2026/06/23 22:21:10.148, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 361.65 W, 44
2026/06/23 22:21:10.148, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 0 %, 95.72 W, 32
2026/06/23 22:21:10.148, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 46630 MiB, 97887 MiB, 70 %, 140.89 W, 35
2026/06/23 22:21:10.149, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 28616 MiB, 97887 MiB, 29 %, 102.22 W, 32
2026/06/23 22:21:11.149, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 361.27 W, 45
2026/06/23 22:21:11.149, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 11 %, 97.57 W, 32
2026/06/23 22:21:11.149, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 46630 MiB, 97887 MiB, 54 %, 145.00 W, 35
2026/06/23 22:21:11.149, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 29710 MiB, 97887 MiB, 7 %, 102.71 W, 31
2026/06/23 22:21:12.150, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 433.87 W, 56
2026/06/23 22:21:12.150, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 5 %, 98.24 W, 32
2026/06/23 22:21:12.150, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 46630 MiB, 97887 MiB, 88 %, 144.53 W, 36
2026/06/23 22:21:12.150, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30078 MiB, 97887 MiB, 22 %, 97.37 W, 31
2026/06/23 22:21:13.150, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 572.20 W, 57
2026/06/23 22:21:13.151, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 3 %, 98.06 W, 32
2026/06/23 22:21:13.151, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 46630 MiB, 97887 MiB, 88 %, 153.20 W, 36
2026/06/23 22:21:13.151, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 31862 MiB, 97887 MiB, 2 %, 107.89 W, 31
2026/06/23 22:21:14.151, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 527.80 W, 48
2026/06/23 22:21:14.151, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 5 %, 100.00 W, 32
2026/06/23 22:21:14.152, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 46630 MiB, 97887 MiB, 78 %, 154.42 W, 36
2026/06/23 22:21:14.152, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 19 %, 112.15 W, 32
2026/06/23 22:21:15.152, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 353.18 W, 47
2026/06/23 22:21:15.152, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 17 %, 99.48 W, 32
2026/06/23 22:21:15.152, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 46630 MiB, 97887 MiB, 68 %, 149.62 W, 35
2026/06/23 22:21:15.152, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 13 %, 108.39 W, 31
2026/06/23 22:21:16.153, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 354.21 W, 47
2026/06/23 22:21:16.153, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 33 %, 97.65 W, 32
2026/06/23 22:21:16.153, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 46630 MiB, 97887 MiB, 47 %, 144.15 W, 35
2026/06/23 22:21:16.153, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 35 %, 109.15 W, 32
2026/06/23 22:21:17.153, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 0 %, 356.34 W, 54
2026/06/23 22:21:17.153, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 16 %, 94.16 W, 32
2026/06/23 22:21:17.154, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 46630 MiB, 97887 MiB, 79 %, 148.70 W, 36
2026/06/23 22:21:17.154, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 34 %, 113.35 W, 32
2026/06/23 22:21:18.154, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 589.88 W, 55
2026/06/23 22:21:18.154, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 5 %, 97.74 W, 32
2026/06/23 22:21:18.154, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 46630 MiB, 97887 MiB, 92 %, 149.22 W, 36
2026/06/23 22:21:18.154, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 37 %, 118.64 W, 32
2026/06/23 22:21:19.155, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 598.78 W, 60
2026/06/23 22:21:19.155, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 0 %, 92.50 W, 32
2026/06/23 22:21:19.155, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 46630 MiB, 97887 MiB, 62 %, 147.42 W, 35
2026/06/23 22:21:19.155, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 71 %, 122.42 W, 32
2026/06/23 22:21:20.156, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 597.71 W, 61
2026/06/23 22:21:20.156, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 3 %, 97.00 W, 32
2026/06/23 22:21:20.156, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 46630 MiB, 97887 MiB, 71 %, 144.11 W, 36
2026/06/23 22:21:20.156, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 69 %, 125.90 W, 33
2026/06/23 22:21:21.156, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 601.67 W, 60
2026/06/23 22:21:21.157, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 7 %, 95.32 W, 32
2026/06/23 22:21:21.157, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 46630 MiB, 97887 MiB, 70 %, 147.96 W, 36
2026/06/23 22:21:21.157, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 45 %, 118.92 W, 32
2026/06/23 22:21:22.157, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 417.79 W, 51
2026/06/23 22:21:22.157, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 17 %, 102.21 W, 32
2026/06/23 22:21:22.157, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 46630 MiB, 97887 MiB, 60 %, 144.68 W, 35
2026/06/23 22:21:22.158, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 58 %, 125.19 W, 32
2026/06/23 22:21:23.158, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 356.09 W, 51
2026/06/23 22:21:23.158, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 15 %, 97.51 W, 32
2026/06/23 22:21:23.158, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 46630 MiB, 97887 MiB, 23 %, 135.39 W, 35
2026/06/23 22:21:23.158, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 49 %, 130.65 W, 32
2026/06/23 22:21:24.159, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 356.08 W, 51
2026/06/23 22:21:24.159, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 47 %, 104.08 W, 32
2026/06/23 22:21:24.159, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 46630 MiB, 97887 MiB, 3 %, 106.10 W, 34
2026/06/23 22:21:24.159, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 19 %, 114.11 W, 32
2026/06/23 22:21:25.159, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 398.33 W, 61
2026/06/23 22:21:25.160, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 27 %, 103.51 W, 32
2026/06/23 22:21:25.160, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 32 %, 106.17 W, 34
2026/06/23 22:21:25.160, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 36 %, 119.42 W, 32
2026/06/23 22:21:26.160, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 593.73 W, 63
2026/06/23 22:21:26.160, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 2 %, 97.44 W, 32
2026/06/23 22:21:26.160, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 4 %, 113.58 W, 34
2026/06/23 22:21:26.161, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 41 %, 118.54 W, 32
2026/06/23 22:21:27.161, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 595.35 W, 63
2026/06/23 22:21:27.161, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 3 %, 100.61 W, 32
2026/06/23 22:21:27.161, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 15 %, 113.34 W, 34
2026/06/23 22:21:27.161, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 81 %, 126.50 W, 33
2026/06/23 22:21:28.162, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 600.53 W, 63
2026/06/23 22:21:28.162, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 13 %, 96.71 W, 32
2026/06/23 22:21:28.162, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 6 %, 114.14 W, 34
2026/06/23 22:21:28.162, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 21 %, 118.34 W, 32
2026/06/23 22:21:29.162, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 602.42 W, 65
2026/06/23 22:21:29.163, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 10 %, 104.16 W, 32
2026/06/23 22:21:29.163, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 12 %, 114.45 W, 34
2026/06/23 22:21:29.163, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 49 %, 115.14 W, 32
2026/06/23 22:21:30.163, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 603.98 W, 65
2026/06/23 22:21:30.163, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 17 %, 100.88 W, 32
2026/06/23 22:21:30.164, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 28 %, 105.81 W, 34
2026/06/23 22:21:30.164, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 81 %, 128.48 W, 33
2026/06/23 22:21:31.164, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 602.40 W, 65
2026/06/23 22:21:31.164, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 4 %, 104.98 W, 32
2026/06/23 22:21:31.164, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 13 %, 109.46 W, 34
2026/06/23 22:21:31.164, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 55 %, 120.50 W, 32
2026/06/23 22:21:32.165, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 432.10 W, 55
2026/06/23 22:21:32.165, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 26 %, 101.87 W, 32
2026/06/23 22:21:32.165, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 56 %, 119.38 W, 34
2026/06/23 22:21:32.165, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 59 %, 123.15 W, 33
2026/06/23 22:21:33.165, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 363.76 W, 54
2026/06/23 22:21:33.166, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 4 %, 104.34 W, 32
2026/06/23 22:21:33.166, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 15 %, 113.74 W, 34
2026/06/23 22:21:33.166, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 23 %, 116.02 W, 32
2026/06/23 22:21:34.166, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 364.82 W, 54
2026/06/23 22:21:34.166, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 40 %, 110.82 W, 32
2026/06/23 22:21:34.167, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 5 %, 104.34 W, 34
2026/06/23 22:21:34.167, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 28 %, 122.59 W, 32
2026/06/23 22:21:35.167, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 35 %, 359.82 W, 63
2026/06/23 22:21:35.167, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 0 %, 103.28 W, 32
2026/06/23 22:21:35.167, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 14 %, 103.29 W, 33
2026/06/23 22:21:35.168, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 22 %, 120.00 W, 32
2026/06/23 22:21:36.168, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 593.63 W, 64
2026/06/23 22:21:36.168, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 4 %, 96.68 W, 31
2026/06/23 22:21:36.168, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 21 %, 107.12 W, 33
2026/06/23 22:21:36.168, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 35 %, 120.89 W, 32
2026/06/23 22:21:37.168, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 600.25 W, 66
2026/06/23 22:21:37.169, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 3 %, 96.40 W, 32
2026/06/23 22:21:37.169, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 60 %, 113.41 W, 34
2026/06/23 22:21:37.169, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 51 %, 110.79 W, 32
2026/06/23 22:21:38.169, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 605.38 W, 67
2026/06/23 22:21:38.170, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 18 %, 101.35 W, 32
2026/06/23 22:21:38.170, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 13 %, 109.21 W, 33
2026/06/23 22:21:38.170, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 41 %, 117.58 W, 32
2026/06/23 22:21:39.170, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 596.75 W, 67
2026/06/23 22:21:39.170, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 15 %, 100.06 W, 31
2026/06/23 22:21:39.170, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 38 %, 116.72 W, 34
2026/06/23 22:21:39.171, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 21 %, 117.48 W, 32
2026/06/23 22:21:40.171, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 601.48 W, 68
2026/06/23 22:21:40.171, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 5 %, 96.04 W, 32
2026/06/23 22:21:40.171, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 3 %, 108.73 W, 33
2026/06/23 22:21:40.171, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 45 %, 119.89 W, 33
2026/06/23 22:21:41.172, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 602.11 W, 68
2026/06/23 22:21:41.172, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 16 %, 103.44 W, 32
2026/06/23 22:21:41.172, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 10 %, 102.86 W, 33
2026/06/23 22:21:41.172, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 59 %, 123.71 W, 33
2026/06/23 22:21:42.173, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 603.47 W, 68
2026/06/23 22:21:42.173, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 4 %, 96.92 W, 32
2026/06/23 22:21:42.173, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 26 %, 112.44 W, 33
2026/06/23 22:21:42.173, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 56 %, 129.40 W, 33
2026/06/23 22:21:43.173, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 600.80 W, 69
2026/06/23 22:21:43.174, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 3 %, 105.90 W, 31
2026/06/23 22:21:43.174, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 3 %, 102.87 W, 33
2026/06/23 22:21:43.174, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 30 %, 119.18 W, 32
2026/06/23 22:21:44.174, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 97 %, 584.92 W, 69
2026/06/23 22:21:44.175, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 29 %, 106.33 W, 32
2026/06/23 22:21:44.175, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 16 %, 108.15 W, 33
2026/06/23 22:21:44.175, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 29 %, 112.44 W, 32
2026/06/23 22:21:45.175, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 364.49 W, 58
2026/06/23 22:21:45.175, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 28 %, 99.67 W, 32
2026/06/23 22:21:45.175, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 33 %, 107.03 W, 33
2026/06/23 22:21:45.176, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 64 %, 117.72 W, 32
2026/06/23 22:21:46.176, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 365.17 W, 58
2026/06/23 22:21:46.176, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 4 %, 102.71 W, 31
2026/06/23 22:21:46.176, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 31 %, 113.75 W, 34
2026/06/23 22:21:46.176, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 36 %, 113.53 W, 32
2026/06/23 22:21:47.177, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 365.37 W, 57
2026/06/23 22:21:47.177, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 3 %, 93.69 W, 31
2026/06/23 22:21:47.177, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 3 %, 109.87 W, 33
2026/06/23 22:21:47.177, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 44 %, 115.25 W, 32
2026/06/23 22:21:48.177, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 458.43 W, 67
2026/06/23 22:21:48.178, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 6 %, 100.99 W, 31
2026/06/23 22:21:48.178, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 19 %, 109.08 W, 33
2026/06/23 22:21:48.178, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 46 %, 114.05 W, 32
2026/06/23 22:21:49.178, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 594.92 W, 68
2026/06/23 22:21:49.178, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 7 %, 104.21 W, 32
2026/06/23 22:21:49.179, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 31 %, 111.83 W, 33
2026/06/23 22:21:49.179, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 60 %, 116.15 W, 32
2026/06/23 22:21:50.179, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 596.12 W, 69
2026/06/23 22:21:50.183, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 15 %, 109.91 W, 32
2026/06/23 22:21:50.183, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 13 %, 108.93 W, 33
2026/06/23 22:21:50.184, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 80 %, 117.94 W, 32
2026/06/23 22:21:51.185, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 599.76 W, 68
2026/06/23 22:21:51.185, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 8 %, 98.06 W, 32
2026/06/23 22:21:51.185, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 6 %, 102.40 W, 33
2026/06/23 22:21:51.185, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 29 %, 119.59 W, 32
2026/06/23 22:21:52.186, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 601.77 W, 68
2026/06/23 22:21:52.187, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30363 MiB, 97887 MiB, 29 %, 100.79 W, 32
2026/06/23 22:21:52.188, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 16 %, 111.31 W, 33
2026/06/23 22:21:52.189, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38008 MiB, 97887 MiB, 43 %, 122.24 W, 32
2026/06/23 22:21:53.190, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 599.99 W, 69
2026/06/23 22:21:53.190, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 31094 MiB, 97887 MiB, 29 %, 106.46 W, 32
2026/06/23 22:21:53.190, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 32 %, 99.48 W, 33
